C101029	C84482
C84482	C95834
C165258	C192842
C192842	C54443
C10103	C61063
C934	C932
C934	C67422
C101030	C101029
C101031	C101029
C101032	C99061
C99061	C87121
C101033	C9175
C9175	C79469
C101034	C3671
C3671	C36291
C118464	C90259
C189762	C118464
C101035	C3671
C158035	C158520
C101036	C34982
C34982	C62601
C12343	C13019
C101037	C99232
C101038	C28193
C101038	C97151
C28193	C2991
C97151	C2849
C101039	C28193
C101039	C97151
C10104	C61007
C101040	C101074
C101074	C34700
C101041	C34700
C34700	C53500
C101042	C3492
C3492	C35553
C40070	C26511
C101043	C120206
C120206	C3492
C98898	C104003
C98898	C34817
C101044	C101214
C101214	C27586
C101214	C97172
C101045	C98805
C98805	C34817
C41165	C12919
C41168	C12801
C32725	C12508
C101046	C28510
C28510	C16612
C37193	C3720
C38184	C20719
C97400	C25804
C97400	C25870
C101047	C17561
C17561	C20032
C101048	C28510
C18497	C18496
C18455	C20921
C18455	C25873
C24529	C25971
C101049	C17561
C10105	C61063
C101050	C99538
C99538	C35741
C101051	C28510
C9287	C7175
C16521	C19077
C18584	C20420
C29957	C20745
C101052	C17561
C101053	C28510
C27483	C4502
C27483	C190576
C4255	C4502
C29950	C26001
C71423	C20420
C101054	C28510
C98002	C26147
C101055	C28510
C45202	C3043
C91852	C186676
C95477	C38534
C101056	C17561
C45208	C36346
C101057	C28510
C18585	C26110
C97516	C54362
C101058	C17561
C101059	C28510
C97621	C20745
C10106	C61063
C101060	C17561
C101061	C28510
C39802	C27891
C24854	C20420
C71419	C54362
C101062	C17561
C101063	C28510
C36057	C36055
C21185	C20744
C21571	C20709
C101064	C28510
C101065	C17561
C101066	C17561
C101067	C28510
C3749	C9029
C3749	C3359
C24606	C20420
C24658	C20420
C101068	C17561
C101069	C28510
C20695	C20692
C10107	C61063
C101070	C17561
C101072	C28510
C97803	C54362
C97806	C20194
C101073	C17561
C101075	C28510
C97834	C20921
C101076	C17561
C101077	C101075
C101078	C101075
C101079	C101075
C10108	C61063
C101080	C101076
C101081	C101076
C101082	C101076
C101083	C28510
C6481	C7333
C97849	C20745
